id,target,semantic_cue,episodic_cue
1,airplane,flight,warehouse
2,angel,halo,action
3,animal,zoo,scar
4,answer,question,leather
5,bank,teller,debate
6,bear,grizzly,kindness
7,beer,keg,fountain
8,belt,buckle,brand
9,bird,chirp,chase
10,blood,plasma,alarm
11,board,chalk,unit
12,boat,row,judgment
13,bone,marrow,audience
14,book,text,appeal
15,bottom,top,victor
16,breathe,respiration,barrel
17,brush,comb,bluff
18,butter,margarine,buzz
19,cake,icing,trash
20,candle,wick,driver
21,card,credit,wealth
22,chair,table,dressing
23,cheap,inexpensive,port
24,church,cathedral,danger
25,clothes,wardrobe,memory
26,cold,chill,furniture
27,copy,xerox,front
28,corn,cob,post
29,cracker,saltine,theft
30,cute,adorable,vampire
31,deer,doe,trailer
32,defense,offense,comedy
33,dirt,soil,junk
34,dirty,filthy,writer
35,disappear,vanish,chef
36,downstairs,upstairs,tree
37,draw,sketch,style
38,drug,addiction,pity
39,drunk,intoxicated,mate
40,duck,quack,union
41,eggs,omelet,instant
42,elephant,tusk,sofa
43,fall,stumble,navy
44,finish,done,claim
45,flag,banner,enemy
46,flowers,bouquet,document
47,forever,eternity,link
48,forward,backward,trousers
49,frog,toad,wall
50,ghost,ghoul,contact
51,groom,bride,soda
52,headache,migraine,strawberry
53,high,low,employment
54,horse,saddle,weed
55,hungry,starving,powder
56,husband,wife,picture
57,jeans,denim,campus
58,jelly,peanutbutter,customer
59,land,acre,branch
60,laugh,giggle,state
61,lawn,mower,coast
62,lightning,thunder,illness
63,lose,win,yard
64,loud,noisy,department
65,math,arithmetic,gang
66,minus,plus,plate
67,mirror,reflection,ashes
68,mistake,error,policeman
69,monkey,chimpanzee,moonlight
70,movie,cinema,shoe
71,nail,hammer,revolution
72,nephew,niece,shower
73,orange,tangerine,substance
74,pepper,salt,hook
75,pizza,pepperoni,boom
76,plane,airport,pump
77,pool,chlorine,lieutenant
78,poor,rich,novel
79,pudding,tapioca,print
80,push,shove,fraud
81,puzzle,jigsaw,medal
82,queen,king,cell
83,rabbit,bunny,armor
84,rain,umbrella,retreat
85,rock,boulder,turtle
86,rules,regulations,hair
87,scare,fright,salesman
88,scratch,itch,circus
89,sheriff,deputy,interest
90,shirt,blouse,plenty
91,short,tall,clue
92,sick,ill,concert
93,small,tiny,pirate
94,smell,odor,garbage
95,snake,cobra,thief
96,soap,lather,neighbor
97,soup,broth,territory
98,south,north,center
99,spaghetti,meatballs,massage
100,spider,cobweb,impulse
101,square,rectangle,dream
102,stamp,postage,squad
103,star,astronomy,liver
104,steak,sirloin,goose
105,steal,rob,burst
106,street,avenue,permission
107,student,pupil,sailor
108,sweat,perspire,type
109,tail,wag,month
110,tear,rip,curtain
111,teeth,gums,wreck
112,television,zenith,cape
113,test,quiz,tragedy
114,thin,thick,denial
115,thread,spool,detail
116,tired,exhausted,sweetheart
117,train,caboose,class
118,uncle,aunt,soccer
119,west,east,click
120,window,pane,gold
